,alg,fun,dim,inst,run,fit,fungroup,logscore
321,PSO,1,10,7,7,1e-08,1,0.0
322,PSO,1,10,7,8,1e-08,1,0.0
323,PSO,1,10,7,9,1e-08,1,0.0
324,PSO,1,10,7,10,1e-08,1,0.0
325,PSO,1,10,7,11,1e-08,1,0.0
326,PSO,1,10,7,12,1e-08,1,0.0
327,PSO,1,10,7,13,1e-08,1,0.0
328,PSO,1,10,7,14,1e-08,1,0.0
329,PSO,1,10,7,15,1e-08,1,0.0
330,PSO,1,10,8,1,1e-08,1,0.0
331,PSO,1,10,8,2,1e-08,1,0.0
332,PSO,1,10,8,3,1e-08,1,0.0
333,PSO,1,10,8,4,1e-08,1,0.0
334,PSO,1,10,8,5,1e-08,1,0.0
335,PSO,1,10,8,6,1e-08,1,0.0
336,PSO,1,10,8,7,1e-08,1,0.0
337,PSO,1,10,8,8,1e-08,1,0.0
338,PSO,1,10,8,9,1e-08,1,0.0
339,PSO,1,10,8,10,1e-08,1,0.0
340,PSO,1,10,8,11,1e-08,1,0.0
341,PSO,1,10,8,12,1e-08,1,0.0
342,PSO,1,10,8,13,1e-08,1,0.0
343,PSO,1,10,8,14,1e-08,1,0.0
344,PSO,1,10,8,15,1e-08,1,0.0
345,PSO,1,10,9,1,1e-08,1,0.0
346,PSO,1,10,9,2,1e-08,1,0.0
347,PSO,1,10,9,3,1e-08,1,0.0
348,PSO,1,10,9,4,1e-08,1,0.0
349,PSO,1,10,9,5,1e-08,1,0.0
350,PSO,1,10,9,6,1e-08,1,0.0
351,PSO,1,10,9,7,1e-08,1,0.0
352,PSO,1,10,9,8,1e-08,1,0.0
353,PSO,1,10,9,9,1e-08,1,0.0
354,PSO,1,10,9,10,1e-08,1,0.0
355,PSO,1,10,9,11,1e-08,1,0.0
356,PSO,1,10,9,12,1e-08,1,0.0
357,PSO,1,10,9,13,1e-08,1,0.0
358,PSO,1,10,9,14,1e-08,1,0.0
359,PSO,1,10,9,15,1e-08,1,0.0
360,PSO,1,10,10,1,1e-08,1,0.0
361,PSO,1,10,10,2,1e-08,1,0.0
362,PSO,1,10,10,3,1e-08,1,0.0
363,PSO,1,10,10,4,1e-08,1,0.0
364,PSO,1,10,10,5,1e-08,1,0.0
365,PSO,1,10,10,6,1e-08,1,0.0
366,PSO,1,10,10,7,1e-08,1,0.0
367,PSO,1,10,10,8,1e-08,1,0.0
368,PSO,1,10,10,9,1e-08,1,0.0
369,PSO,1,10,10,10,1e-08,1,0.0
370,PSO,1,10,10,11,1e-08,1,0.0
371,PSO,1,10,10,12,1e-08,1,0.0
372,PSO,1,10,10,13,1e-08,1,0.0
373,PSO,1,10,10,14,1e-08,1,0.0
374,PSO,1,10,10,15,1e-08,1,0.0
375,PSO,1,10,11,1,1e-08,1,0.0
376,PSO,1,10,11,2,1e-08,1,0.0
377,PSO,1,10,11,3,1e-08,1,0.0
378,PSO,1,10,11,4,1e-08,1,0.0
379,PSO,1,10,11,5,1e-08,1,0.0
380,PSO,1,10,11,6,1e-08,1,0.0
381,PSO,1,10,11,7,1e-08,1,0.0
382,PSO,1,10,11,8,1e-08,1,0.0
383,PSO,1,10,11,9,1e-08,1,0.0
384,PSO,1,10,11,10,1e-08,1,0.0
385,PSO,1,10,11,11,1e-08,1,0.0
386,PSO,1,10,11,12,1e-08,1,0.0
387,PSO,1,10,11,13,1e-08,1,0.0
388,PSO,1,10,11,14,1e-08,1,0.0
389,PSO,1,10,11,15,1e-08,1,0.0
390,PSO,1,10,12,1,1e-08,1,0.0
391,PSO,1,10,12,2,1e-08,1,0.0
392,PSO,1,10,12,3,1e-08,1,0.0
